¿ªÊ¼Óï·¨·ÖÎö: 
Õ»                  ÊäÈë´®                                                                                              ¶¯×÷                          
# A        public class example { int a = 90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        A -> B A 
# A B        public class example { int a = 90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        B -> L class ID D 
# A D ID class L        public class example { int a = 90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        L -> public 
# A D ID class public        public class example { int a = 90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä public
# A D ID class        class example { int a = 90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä class
# A D ID        example { int a = 90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ID -> example 
# A D example        example { int a = 90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä example
# A D        { int a = 90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        D -> { F } 
# A } F {        { int a = 90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä {
# A } F        int a = 90 ; double b = 30.75 ; public void fun ( ) { if ( a > b ) { b = a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        F -> H F 
